smiles,Eat
*CC(C)CC(C)CC(*)C,-5.14
*CC(F)CC(F)CC(*)F,-5.18
*CC(F)(F)CC(F)(F)CC(*)(F)F,-5.21
*C(F)C(F)(F)C(F)C(F)(F)C(F)C(*)(F)F,-5.11
*CCC(F)(F)C(F)(F)CCC(F)(F)C(F)(F)CCC(F)(F)C(*)(F)F,-5.21
*COCOCO*,-5.32
*CCOCCOCCO*,-5.21
*CC(OCC(OCC(O*)C(F)(F)F)C(F)(F)F)C(F)(F)F,-5.24
*CCCOCCCOCCCO*,-5.2
*Oc1ccc(Cc2ccc(Oc3ccc(Cc4ccc(Oc5ccc(Cc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.18
*CCCCCOCOCCCCCOCOCCCCCOCO*,-5.2
*CCOC(=O)NCCOCCOCCNC(=O)OCCOC(=O)NCCOCCOCCNC(=O)OCCOC(=O)NCCOCCOCCNC(=O)O*,-5.52
*c1ccc(-c2nc3cc4nc(-c5ccc(-c6nc7cc8nc(-c9ccc(-c%10nc%11cc%12nc(*)oc%12cc%11o%10)cc9)oc8cc7o6)cc5)oc4cc3o2)cc1,-6.82
*CCCCCSCCCCCSCCCCCS*,-5.03
*CCOC(=O)CCCCC(=O)OCCOC(=O)CCCCC(=O)OCCOC(=O)CCCCC(=O)O*,-5.59
*CCOC(=O)CCCCCCC(=O)OCCOC(=O)CCCCCCC(=O)OCCOC(=O)CCCCCCC(=O)O*,-5.5
*CCOC(=O)c1ccc(C(=O)OCCOC(=O)c2ccc(C(=O)OCCOC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,-6.18
*CCCCOC(=O)c1ccc(C(=O)OCCCCOC(=O)c2ccc(C(=O)OCCCCOC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,-5.97
*CC(=O)OCC(=O)OCC(=O)O*,-6.0
*CCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)O*,-5.44
*CCC(=O)OCCC(=O)OCCC(=O)O*,-5.73
*Oc1ccc(CC(=O)Oc2ccc(CC(=O)Oc3ccc(CC(*)=O)cc3)cc2)cc1,-6.21
*Cc1ccc(C(=O)OCc2ccc(C(=O)OCc3ccc(C(=O)O*)cc3)cc2)cc1,-6.22
*CCC(=O)NCCC(=O)NCCC(=O)N*,-5.69
*CCCCCCC(=O)NCCCCCCC(=O)NCCCCCCC(=O)N*,-5.39
*CC(=O)NCC(=O)NCC(=O)N*,-5.91
*Nc1cccc(C(=O)Nc2cccc(C(=O)Nc3cccc(C(*)=O)c3)c2)c1,-6.41
*Cc1ccc(C(=O)NCc2ccc(C(=O)NCc3ccc(C(=O)N*)cc3)cc2)cc1,-6.17
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCOC(=O)Nc2ccc(C)c(NC(=O)OCCCCCOC(=O)Nc3ccc(C)c(NC(=O)O*)c3)c2)c1,-5.79
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCCN3C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(CCCCCCN6C(=O)c8ccc(C(=O)c9ccc%10c(c9)C(=O)N(*)C%10=O)cc8C6=O)C7=O)cc5C3=O)C4=O)cc2C1=O,-6.25
*OC(=O)c1ccc(C(=O)OC(=O)c2ccc(C(=O)OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,-6.57
*CCCCCOC(=O)OCCCCCOC(=O)OCCCCCOC(=O)O*,-5.46
*Oc1ccc(OC(=O)Oc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3)cc2)cc1,-6.41
*CCCNCCCNCCCN*,-5.18
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.4
*c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.39
*CCc1ccc(-c2ccc(CCc3ccc(-c4ccc(CCc5ccc(-c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.09
*OC1C(CO)OC(OC2C(CO)OC(OC3C(CO)OC(*)C(O)C3O)C(O)C2O)C(O)C1O,-5.48
*Cc1ccc(COCc2ccc(COCc3ccc(CO*)cc3)cc2)cc1,-5.89
*CCOCCOC(=O)OCCOCCOC(=O)OCCOCCOC(=O)O*,-5.52
*CCC(OCCC(OCCC(O*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,-5.18
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.18
*Oc1ccc(-c2ccc(C(=O)Oc3ccc(-c4ccc(C(=O)Oc5ccc(-c6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,-6.44
*Nc1ccc(Nc2ccc(Nc3ccc(*)cc3)cc2)cc1,-6.21
*c1cccc(-c2cccc(-c3cccc(*)n3)n2)n1,-6.6
*CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,-5.9
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)s5)s4)s3)s2)s1,-6.18
*c1ccc2oc(-c3ccc4nc(-c5ccc6oc(-c7ccc8nc(-c9ccc%10oc(-c%11ccc%12nc(*)oc%12c%11)nc%10c9)oc8c7)nc6c5)oc4c3)nc2c1,-6.81
*Cc1ccc(CCc2ccc(CCc3ccc(C*)cc3)cc2)cc1,-5.84
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,-5.41
*CC(CC(CC(CC(CC(CC(CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1)c1ccccn1,-5.99
*C(=S)c1ccc(-c2ccc(-c3ccc(C(=S)c4ccc(-c5ccc(-c6ccc(C(=S)c7ccc(-c8ccc(-c9ccc(*)s9)s8)s7)s6)s5)s4)s3)s2)s1,-6.13
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc(-c6ccc(Oc7ccc(-c8ccc(-c9ccc(*)s9)s8)s7)s6)s5)s4)s3)s2)s1,-6.12
*C(=S)Oc1ccc(-c2ccc(C(=S)Oc3ccc(-c4ccc(C(=S)Oc5ccc(-c6ccc(*)s6)s5)s4)s3)s2)s1,-6.07
*Oc1ccc(C(=S)c2ccc(Oc3ccc(C(=S)c4ccc(Oc5ccc(C(=S)c6ccc(*)s6)s5)s4)s3)s2)s1,-6.04
*C(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(=S)OC(=S)c3ccc(*)s3)s2)s1,-5.95
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(Oc5ccc(Oc6ccc(*)s6)s5)s4)s3)s2)s1,-6.02
*OC(=S)Oc1ccc(OC(=S)Oc2ccc(OC(=S)Oc3ccc(*)s3)s2)s1,-5.94
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(*)s%12)s%11)s%10)cc9)s8)s7)s6)cc5)s4)s3)s2)cc1,-6.24
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc(-c6ccc(Oc7ccc(-c8ccc(-c9ccc(*)cc9)s8)s7)cc6)s5)s4)cc3)s2)s1,-6.21
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(*)s%12)cc%11)s%10)cc9)s8)cc7)s6)cc5)s4)cc3)s2)cc1,-6.28
*C(=S)c1ccc(-c2ccc(-c3ccc(C(=S)c4ccc(-c5ccc(-c6ccc(C(=S)c7ccc(-c8ccc(-c9ccc(*)cc9)s8)cc7)cc6)s5)cc4)cc3)s2)cc1,-6.27
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc(-c6ccc(Oc7ccc(-c8ccc(-c9ccc(*)cc9)s8)cc7)cc6)s5)cc4)cc3)s2)cc1,-6.29
*c1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(-c5ccc(C(=S)c6ccc(-c7ccc(-c8ccc(C(=S)c9ccc(*)s9)s8)cc7)s6)s5)cc4)s3)s2)cc1,-6.22
*c1ccc(-c2ccc(Oc3ccc(-c4ccc(-c5ccc(Oc6ccc(-c7ccc(-c8ccc(Oc9ccc(*)s9)s8)cc7)s6)s5)cc4)s3)s2)cc1,-6.21
*C(=S)Oc1ccc(-c2ccc(C(=S)Oc3ccc(-c4ccc(C(=S)Oc5ccc(-c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.17
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc(-c6ccc(Oc7ccc(-c8ccc(-c9ccc(*)cc9)cc8)s7)cc6)cc5)s4)cc3)cc2)s1,-6.29
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(*)s%12)cc%11)cc%10)cc9)s8)cc7)cc6)cc5)s4)cc3)cc2)cc1,-6.34
*C(=S)c1ccc(-c2ccc(-c3ccc(C(=S)c4ccc(-c5ccc(-c6ccc(C(=S)c7ccc(-c8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-6.31
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc(-c6ccc(Oc7ccc(-c8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-6.34
*OC(=S)c1ccc(-c2ccc(OC(=S)c3ccc(-c4ccc(OC(=S)c5ccc(-c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.29
*C(=S)c1ccc(C(=S)c2ccc(C(=S)c3ccc(C(=S)c4ccc(C(=S)c5ccc(C(=S)c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.16
*Oc1ccc(C(=S)c2ccc(Oc3ccc(C(=S)c4ccc(Oc5ccc(C(=S)c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.18
*C(=S)c1ccc(C(=S)c2ccc(C(=S)c3ccc(C(=S)c4ccc(C(=S)c5ccc(C(=S)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.17
*Oc1ccc(C(=S)c2ccc(Oc3ccc(C(=S)c4ccc(Oc5ccc(C(=S)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.28
*C(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(=S)OC(=S)c3ccc(*)cc3)cc2)cc1,-6.13
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(Oc5ccc(Oc6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.18
*c1ccc(OC(=S)c2ccc(-c3ccc(OC(=S)c4ccc(-c5ccc(OC(=S)c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.21
*OC(=S)Oc1ccc(OC(=S)Oc2ccc(OC(=S)Oc3ccc(*)cc3)cc2)cc1,-6.18
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)s9)s8)s7)s6)s5)s4)s3)s2)s1,-6.03
*Cc1ccc(-c2ccc(C(=S)Cc3ccc(-c4ccc(C(=S)Cc5ccc(-c6ccc(C(*)=S)s6)s5)s4)s3)s2)s1,-5.95
*Cc1ccc(-c2ccc(OCc3ccc(-c4ccc(OCc5ccc(-c6ccc(O*)s6)s5)s4)s3)s2)s1,-5.95
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)s9)cc8)s7)s6)cc5)s4)s3)cc2)s1,-6.12
*Cc1ccc(-c2ccc(C(=S)Cc3ccc(-c4ccc(C(=S)Cc5ccc(-c6ccc(C(*)=S)cc6)s5)cc4)s3)cc2)s1,-6.05
*Cc1ccc(-c2ccc(OCc3ccc(-c4ccc(OCc5ccc(-c6ccc(O*)cc6)s5)cc4)s3)cc2)s1,-6.09
*Cc1ccc(Cc2ccc(Cc3ccc(Cc4ccc(Cc5ccc(Cc6ccc(*)s6)s5)s4)s3)s2)s1,-5.81
*Cc1ccc(CC(=S)Cc2ccc(CC(=S)Cc3ccc(CC(*)=S)s3)s2)s1,-5.65
*Cc1ccc(C(=O)c2ccc(Cc3ccc(C(=O)c4ccc(Cc5ccc(C(=O)c6ccc(*)s6)s5)s4)s3)s2)s1,-6.08
*Cc1ccc(C(=O)C(=S)Cc2ccc(C(=O)C(=S)Cc3ccc(C(=O)C(*)=S)s3)s2)s1,-5.99
*Cc1ccc(C(=O)OCc2ccc(C(=O)OCc3ccc(C(=O)O*)s3)s2)s1,-6.07
*Cc1ccc(C(=S)c2ccc(Cc3ccc(C(=S)c4ccc(Cc5ccc(C(=S)c6ccc(*)s6)s5)s4)s3)s2)s1,-5.94
*Cc1ccc(C(=S)OCc2ccc(C(=S)OCc3ccc(C(=S)O*)s3)s2)s1,-5.82
*Cc1ccc(Nc2ccc(Cc3ccc(Nc4ccc(Cc5ccc(Nc6ccc(*)s6)s5)s4)s3)s2)s1,-5.9
*Cc1ccc(NC(=S)Cc2ccc(NC(=S)Cc3ccc(NC(*)=S)s3)s2)s1,-5.77
*Cc1ccc(NOCc2ccc(NOCc3ccc(NO*)s3)s2)s1,-5.66
*Cc1ccc(Oc2ccc(Cc3ccc(Oc4ccc(Cc5ccc(Oc6ccc(*)s6)s5)s4)s3)s2)s1,-5.92
*Cc1ccc(OC(=S)Cc2ccc(OC(=S)Cc3ccc(OC(*)=S)s3)s2)s1,-5.78
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)s9)s8)cc7)s6)s5)cc4)s3)s2)cc1,-6.12
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)cc9)s8)cc7)cc6)s5)cc4)cc3)s2)cc1,-6.2
*Cc1ccc(-c2ccc(C(=S)Cc3ccc(-c4ccc(C(=S)Cc5ccc(-c6ccc(C(*)=S)s6)cc5)s4)cc3)s2)cc1,-6.08
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)s9)cc8)cc7)s6)cc5)cc4)s3)cc2)cc1,-6.19
*Cc1ccc(-c2ccc(-c3ccc(Cc4ccc(-c5ccc(-c6ccc(Cc7ccc(-c8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-6.26
*Cc1ccc(-c2ccc(C(=S)Cc3ccc(-c4ccc(C(=S)Cc5ccc(-c6ccc(C(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,-6.17
*Cc1ccc(-c2ccc(OCc3ccc(-c4ccc(OCc5ccc(-c6ccc(O*)cc6)cc5)cc4)cc3)cc2)cc1,-6.2
*Cc1ccc(Cc2ccc(Cc3ccc(Cc4ccc(Cc5ccc(Cc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-5.99
*Cc1ccc(Cc2ccc(Cc3ccc(Cc4ccc(Cc5ccc(Cc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.09
*Cc1ccc(CC(=S)Cc2ccc(CC(=S)Cc3ccc(CC(*)=S)cc3)cc2)cc1,-5.85
*Cc1ccc(C(=O)c2ccc(Cc3ccc(C(=O)c4ccc(Cc5ccc(C(=O)c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.2
*Cc1ccc(C(=O)c2ccc(Cc3ccc(C(=O)c4ccc(Cc5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.29
*Cc1ccc(C(=O)C(=S)Cc2ccc(C(=O)C(=S)Cc3ccc(C(=O)C(*)=S)cc3)cc2)cc1,-6.14
*Cc1ccc(C(=S)c2ccc(Cc3ccc(C(=S)c4ccc(Cc5ccc(C(=S)c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.07
*Cc1ccc(C(=S)c2ccc(Cc3ccc(C(=S)c4ccc(Cc5ccc(C(=S)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.17
*Cc1ccc(C(=S)OCc2ccc(C(=S)OCc3ccc(C(=S)O*)cc3)cc2)cc1,-6.0
*Cc1ccc(Nc2ccc(Cc3ccc(Nc4ccc(Cc5ccc(Nc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.04
*Cc1ccc(Nc2ccc(Cc3ccc(Nc4ccc(Cc5ccc(Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.15
*Cc1ccc(NC(=S)Cc2ccc(NC(=S)Cc3ccc(NC(*)=S)cc3)cc2)cc1,-5.97
*Cc1ccc(NOCc2ccc(NOCc3ccc(NO*)cc3)cc2)cc1,-5.9
*Cc1ccc(Oc2ccc(Cc3ccc(Oc4ccc(Cc5ccc(Oc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.08
*Cc1ccc(OC(=S)Cc2ccc(OC(=S)Cc3ccc(OC(*)=S)cc3)cc2)cc1,-6.0
*CCc1ccc(-c2ccc(CCc3ccc(-c4ccc(CCc5ccc(-c6ccc(*)s6)s5)s4)s3)s2)s1,-5.86
*CCc1ccc(C(=S)CCc2ccc(C(=S)CCc3ccc(C(*)=S)s3)s2)s1,-5.69
*CCc1ccc(OCCc2ccc(OCCc3ccc(O*)s3)s2)s1,-5.67
*CCc1ccc(-c2ccc(CCc3ccc(-c4ccc(CCc5ccc(-c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-5.98
*CCc1ccc(C(=S)CCc2ccc(C(=S)CCc3ccc(C(*)=S)cc3)cc2)cc1,-5.87
*CCc1ccc(OCCc2ccc(OCCc3ccc(O*)cc3)cc2)cc1,-5.89
*CCCc1ccc(CCCc2ccc(CCCc3ccc(*)s3)s2)s1,-5.57
*CCCc1ccc(CCCc2ccc(CCCc3ccc(*)cc3)cc2)cc1,-5.78
