smiles,Eat
*CCCC(=O)CCCC(=O)CCCC(*)=O,-5.52
*CCCC(=S)CCCC(=S)CCCC(*)=S,-5.22
*CCC(=O)c1ccc(CCC(=O)c2ccc(CCC(=O)c3ccc(*)s3)s2)s1,-5.9
*CCC(=O)c1ccc(CCC(=O)c2ccc(CCC(=O)c3ccc(*)cc3)cc2)cc1,-6.05
*CCC(=O)C(=S)CCC(=O)C(=S)CCC(=O)C(*)=S,-5.61
*CCC(=S)OCCC(=S)OCCC(=S)O*,-5.34
*CCNc1ccc(CCNc2ccc(CCNc3ccc(*)s3)s2)s1,-5.63
*CCNc1ccc(CCNc2ccc(CCNc3ccc(*)cc3)cc2)cc1,-5.85
*CCNC(=S)CCNC(=S)CCNC(*)=S,-5.36
*CCONCCONCCON*,-5.12
*CC(=O)c1ccc(-c2ccc(CC(=O)c3ccc(-c4ccc(CC(=O)c5ccc(-c6ccc(*)s6)s5)s4)s3)s2)s1,-6.12
*CC(=O)c1ccc(-c2ccc(CC(=O)c3ccc(-c4ccc(CC(=O)c5ccc(-c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.21
*CC(=O)c1ccc(C(=O)CC(=O)c2ccc(C(=O)CC(=O)c3ccc(C(*)=O)s3)s2)s1,-6.21
*CC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(=S)CC(=O)c3ccc(C(*)=S)s3)s2)s1,-6.0
*CC(=O)c1ccc(OCC(=O)c2ccc(OCC(=O)c3ccc(O*)s3)s2)s1,-6.03
*CC(=O)c1ccc(-c2ccc(CC(=O)c3ccc(-c4ccc(CC(=O)c5ccc(-c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.2
*CC(=O)c1ccc(-c2ccc(CC(=O)c3ccc(-c4ccc(CC(=O)c5ccc(-c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.29
*CC(=O)c1ccc(C(=O)CC(=O)c2ccc(C(=O)CC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,-6.34
*CC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(=S)CC(=O)c3ccc(C(*)=S)cc3)cc2)cc1,-6.15
*CC(=O)c1ccc(OCC(=O)c2ccc(OCC(=O)c3ccc(O*)cc3)cc2)cc1,-6.19
*CC(=O)Cc1ccc(CC(=O)Cc2ccc(CC(=O)Cc3ccc(*)s3)s2)s1,-5.87
*CC(=O)Cc1ccc(CC(=O)Cc2ccc(CC(=O)Cc3ccc(*)cc3)cc2)cc1,-6.05
*CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(*)=O,-5.95
*CC(=O)CC(=S)CC(=O)CC(=S)CC(=O)CC(*)=S,-5.62
*CC(=O)COCC(=O)COCC(=O)CO*,-5.62
*CC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(CC(=O)C(=S)c3ccc(*)s3)s2)s1,-6.0
*CC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(CC(=O)C(=S)c3ccc(*)cc3)cc2)cc1,-6.15
*CC(=O)C(=S)C(=O)CC(=O)C(=S)C(=O)CC(=O)C(=S)C(*)=O,-6.06
*CC(=O)C(=S)OCC(=O)C(=S)OCC(=O)C(=S)O*,-5.8
*CC(=O)Nc1ccc(CC(=O)Nc2ccc(CC(=O)Nc3ccc(*)s3)s2)s1,-6.01
*CC(=O)Nc1ccc(CC(=O)Nc2ccc(CC(=O)Nc3ccc(*)cc3)cc2)cc1,-6.16
*CC(=O)NC(=O)CC(=O)NC(=O)CC(=O)NC(*)=O,-6.2
*CC(=O)NC(=S)CC(=O)NC(=S)CC(=O)NC(*)=S,-5.8
*CC(=O)Oc1ccc(CC(=O)Oc2ccc(CC(=O)Oc3ccc(*)s3)s2)s1,-6.05
*CC(=O)OC(=O)CC(=O)OC(=O)CC(=O)OC(*)=O,-6.3
*CC(=O)OC(=S)CC(=O)OC(=S)CC(=O)OC(*)=S,-5.87
*CC(=S)c1ccc(C(=S)CC(=S)c2ccc(C(=S)CC(=S)c3ccc(C(*)=S)s3)s2)s1,-5.78
*CC(=S)c1ccc(OCC(=S)c2ccc(OCC(=S)c3ccc(O*)s3)s2)s1,-5.8
*CC(=S)c1ccc(C(=S)CC(=S)c2ccc(C(=S)CC(=S)c3ccc(C(*)=S)cc3)cc2)cc1,-5.91
*CC(=S)c1ccc(NCC(=S)c2ccc(NCC(=S)c3ccc(N*)cc3)cc2)cc1,-5.95
*CC(=S)c1ccc(OCC(=S)c2ccc(OCC(=S)c3ccc(O*)cc3)cc2)cc1,-5.99
*CC(=S)CC(=S)CC(=S)CC(=S)CC(=S)CC(*)=S,-5.3
*CC(=S)COCC(=S)COCC(=S)CO*,-5.27
*CC(=S)C(=O)C(=S)CC(=S)C(=O)C(=S)CC(=S)C(=O)C(*)=S,-5.79
*CC(=S)C(=O)OCC(=S)C(=O)OCC(=S)C(=O)O*,-5.84
*CC(=S)NC(=S)CC(=S)NC(=S)CC(=S)NC(*)=S,-5.43
*CC(=S)NOCC(=S)NOCC(=S)NO*,-5.27
*CC(=S)OC(=S)CC(=S)OC(=S)CC(=S)OC(*)=S,-5.45
*CNc1ccc(-c2ccc(CNc3ccc(-c4ccc(CNc5ccc(-c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.04
*CNc1ccc(C(=O)CNc2ccc(C(=O)CNc3ccc(C(*)=O)s3)s2)s1,-6.0
*CNc1ccc(C(=S)CNc2ccc(C(=S)CNc3ccc(C(*)=S)s3)s2)s1,-5.78
*CNc1ccc(NCNc2ccc(NCNc3ccc(N*)s3)s2)s1,-5.7
*CNc1ccc(OCNc2ccc(OCNc3ccc(O*)s3)s2)s1,-5.74
*CNc1ccc(-c2ccc(CNc3ccc(-c4ccc(CNc5ccc(-c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.05
*CNc1ccc(C(=O)CNc2ccc(C(=O)CNc3ccc(C(*)=O)cc3)cc2)cc1,-6.14
*CNc1ccc(NCNc2ccc(NCNc3ccc(N*)cc3)cc2)cc1,-5.93
*CNc1ccc(OCNc2ccc(OCNc3ccc(O*)cc3)cc2)cc1,-5.98
*CNCc1ccc(CNCc2ccc(CNCc3ccc(*)s3)s2)s1,-5.61
*CNCc1ccc(CNCc2ccc(CNCc3ccc(*)cc3)cc2)cc1,-5.84
*CNCC(=O)CNCC(=O)CNCC(*)=O,-5.59
*CNCC(=S)CNCC(=S)CNCC(*)=S,-5.26
*CNCNCNCNCNCN*,-5.22
*CNCOCNCOCNCO*,-5.27
*CNC(=O)c1ccc(CNC(=O)c2ccc(CNC(=O)c3ccc(*)s3)s2)s1,-6.02
*CNC(=O)C(=S)CNC(=O)C(=S)CNC(=O)C(*)=S,-5.8
*CNC(=S)c1ccc(CNC(=S)c2ccc(CNC(=S)c3ccc(*)s3)s2)s1,-5.79
*CNC(=S)c1ccc(CNC(=S)c2ccc(CNC(=S)c3ccc(*)cc3)cc2)cc1,-5.96
*CNC(=S)C(=O)CNC(=S)C(=O)CNC(=S)C(*)=O,-5.79
*CNC(=S)NCNC(=S)NCNC(=S)N*,-5.48
*CNC(=S)OCNC(=S)OCNC(=S)O*,-5.49
*CNOc1ccc(CNOc2ccc(CNOc3ccc(*)s3)s2)s1,-5.66
*CNOc1ccc(CNOc2ccc(CNOc3ccc(*)cc3)cc2)cc1,-5.9
*CNOC(=S)CNOC(=S)CNOC(*)=S,-5.28
*CNONCNONCNON*,-5.01
*COc1ccc(-c2ccc(COc3ccc(-c4ccc(COc5ccc(-c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.07
*COc1ccc(OCOc2ccc(OCOc3ccc(O*)s3)s2)s1,-5.78
*COc1ccc(OCOc2ccc(OCOc3ccc(O*)cc3)cc2)cc1,-6.03
*COC(=O)OCOC(=O)OCOC(=O)O*,-5.97
*COC(=S)OCOC(=S)OCOC(=S)O*,-5.47
*CONC(=O)CONC(=O)CONC(*)=O,-5.69
*CONOCONOCONO*,-5.08
*C(=O)c1ccc(-c2ccc(-c3ccc(C(=O)c4ccc(-c5ccc(-c6ccc(C(=O)c7ccc(-c8ccc(-c9ccc(*)s9)s8)s7)s6)s5)s4)s3)s2)s1,-6.27
*C(=O)c1ccc(-c2ccc(C(=S)C(=O)c3ccc(-c4ccc(C(=S)C(=O)c5ccc(-c6ccc(C(*)=S)s6)s5)s4)s3)s2)s1,-6.22
*Oc1ccc(-c2ccc(C(=O)Oc3ccc(-c4ccc(C(=O)Oc5ccc(-c6ccc(C(*)=O)s6)s5)s4)s3)s2)s1,-6.27
*C(=O)c1ccc(-c2ccc(-c3ccc(C(=O)c4ccc(-c5ccc(-c6ccc(C(=O)c7ccc(-c8ccc(-c9ccc(*)s9)cc8)s7)s6)cc5)s4)s3)cc2)s1,-6.34
*C(=O)c1ccc(-c2ccc(C(=S)C(=O)c3ccc(-c4ccc(C(=S)C(=O)c5ccc(-c6ccc(C(*)=S)cc6)s5)cc4)s3)cc2)s1,-6.29
*Oc1ccc(-c2ccc(C(=O)Oc3ccc(-c4ccc(C(=O)Oc5ccc(-c6ccc(C(*)=O)s6)cc5)s4)cc3)s2)cc1,-6.38
*C(=O)c1ccc(C(=O)c2ccc(C(=O)c3ccc(C(=O)c4ccc(C(=O)c5ccc(C(=O)c6ccc(*)s6)s5)s4)s3)s2)s1,-6.37
*C(=O)c1ccc(C(=O)C(=S)C(=O)c2ccc(C(=O)C(=S)C(=O)c3ccc(C(=O)C(*)=S)s3)s2)s1,-6.33
*OC(=O)c1ccc(C(=O)OC(=O)c2ccc(C(=O)OC(=O)c3ccc(C(*)=O)s3)s2)s1,-6.49
*OC(=S)c1ccc(C(=O)OC(=S)c2ccc(C(=O)OC(=S)c3ccc(C(*)=O)s3)s2)s1,-6.21
*C(=O)c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(*)s6)s5)s4)s3)s2)s1,-6.22
*C(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(=S)C(=O)c3ccc(OC(*)=S)s3)s2)s1,-6.17
*C(=O)c1ccc(-c2ccc(-c3ccc(C(=O)c4ccc(-c5ccc(-c6ccc(C(=O)c7ccc(-c8ccc(-c9ccc(*)cc9)s8)cc7)cc6)s5)cc4)cc3)s2)cc1,-6.38
*Oc1ccc(-c2ccc(C(=O)Oc3ccc(-c4ccc(C(=O)Oc5ccc(-c6ccc(C(*)=O)cc6)s5)cc4)s3)cc2)s1,-6.35
*C(=O)c1ccc(-c2ccc(-c3ccc(C(=O)c4ccc(-c5ccc(-c6ccc(C(=O)c7ccc(-c8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-6.42
*C(=O)c1ccc(-c2ccc(C(=S)C(=O)c3ccc(-c4ccc(C(=S)C(=O)c5ccc(-c6ccc(C(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,-6.37
*C(=O)c1ccc(C(=O)c2ccc(C(=O)c3ccc(C(=O)c4ccc(C(=O)c5ccc(C(=O)c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.45
*C(=O)c1ccc(C(=O)c2ccc(C(=O)c3ccc(C(=O)c4ccc(C(=O)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.51
*C(=O)c1ccc(C(=O)C(=S)C(=O)c2ccc(C(=O)C(=S)C(=O)c3ccc(C(=O)C(*)=S)cc3)cc2)cc1,-6.42
*OC(=S)c1ccc(C(=O)OC(=S)c2ccc(C(=O)OC(=S)c3ccc(C(*)=O)cc3)cc2)cc1,-6.35
*C(=O)c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.33
*C(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(=S)C(=O)c3ccc(OC(*)=S)cc3)cc2)cc1,-6.3
*C(=O)C(=S)OC(=S)C(=O)C(=S)OC(=S)C(=O)C(=S)OC(*)=S,-5.98
*C(=O)Oc1ccc(C(=S)C(=O)Oc2ccc(C(=S)C(=O)Oc3ccc(C(*)=S)s3)s2)s1,-6.21
*Oc1ccc(OC(=O)Oc2ccc(OC(=O)Oc3ccc(OC(*)=O)s3)s2)s1,-6.25
*C(=O)Oc1ccc(C(=S)C(=O)Oc2ccc(C(=S)C(=O)Oc3ccc(C(*)=S)cc3)cc2)cc1,-6.32
*OC(=O)OC(=O)OC(=O)OC(=O)OC(=O)OC(*)=O,-6.78
*OC(=S)OC(=O)OC(=S)OC(=O)OC(=S)OC(*)=O,-6.2
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)s9)s8)s7)s6)s5)s4)s3)s2)s1,-6.09
*Cc1ccc(-c2ccc(NCc3ccc(-c4ccc(NCc5ccc(-c6ccc(N*)s6)s5)s4)s3)s2)s1,-5.92
*Nc1ccc(-c2ccc(C(=O)Nc3ccc(-c4ccc(C(=O)Nc5ccc(-c6ccc(C(*)=O)s6)s5)s4)s3)s2)s1,-6.22
*Nc1ccc(-c2ccc(C(=S)Nc3ccc(-c4ccc(C(=S)Nc5ccc(-c6ccc(C(*)=S)s6)s5)s4)s3)s2)s1,-6.05
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)s9)cc8)s7)s6)cc5)s4)s3)cc2)s1,-6.18
*Nc1ccc(-c2ccc(C(=S)Nc3ccc(-c4ccc(C(=S)Nc5ccc(-c6ccc(C(*)=S)cc6)s5)cc4)s3)cc2)s1,-6.15
*Nc1ccc(C(=O)c2ccc(Nc3ccc(C(=O)c4ccc(Nc5ccc(C(=O)c6ccc(*)s6)s5)s4)s3)s2)s1,-6.18
*Nc1ccc(C(=O)C(=S)Nc2ccc(C(=O)C(=S)Nc3ccc(C(=O)C(*)=S)s3)s2)s1,-6.15
*Nc1ccc(C(=S)c2ccc(Nc3ccc(C(=S)c4ccc(Nc5ccc(C(=S)c6ccc(*)s6)s5)s4)s3)s2)s1,-6.0
*Nc1ccc(C(=S)c2ccc(Nc3ccc(C(=S)c4ccc(Nc5ccc(C(=S)c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.15
*Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccc(*)s6)s5)s4)s3)s2)s1,-5.96
*Nc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(NC(*)=S)s3)s2)s1,-5.89
*Nc1ccc(Oc2ccc(Nc3ccc(Oc4ccc(Nc5ccc(Oc6ccc(*)s6)s5)s4)s3)s2)s1,-5.99
*Nc1ccc(OC(=S)Nc2ccc(OC(=S)Nc3ccc(OC(*)=S)s3)s2)s1,-5.92
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)s9)s8)cc7)s6)s5)cc4)s3)s2)cc1,-6.18
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)cc9)s8)cc7)cc6)s5)cc4)cc3)s2)cc1,-6.26
*Nc1ccc(-c2ccc(C(=S)Nc3ccc(-c4ccc(C(=S)Nc5ccc(-c6ccc(C(*)=S)s6)cc5)s4)cc3)s2)cc1,-6.18
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)s9)cc8)cc7)s6)cc5)cc4)s3)cc2)cc1,-6.26
*Nc1ccc(-c2ccc(-c3ccc(Nc4ccc(-c5ccc(-c6ccc(Nc7ccc(-c8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-6.31
*Cc1ccc(-c2ccc(NCc3ccc(-c4ccc(NCc5ccc(-c6ccc(N*)cc6)cc5)cc4)cc3)cc2)cc1,-6.15
*Nc1ccc(-c2ccc(C(=S)Nc3ccc(-c4ccc(C(=S)Nc5ccc(-c6ccc(C(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,-6.25
*Nc1ccc(-c2ccc(ONc3ccc(-c4ccc(ONc5ccc(-c6ccc(O*)cc6)cc5)cc4)cc3)cc2)cc1,-6.21
*Nc1ccc(C(=O)c2ccc(Nc3ccc(C(=O)c4ccc(Nc5ccc(C(=O)c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.29
*Nc1ccc(C(=O)C(=S)Nc2ccc(C(=O)C(=S)Nc3ccc(C(=O)C(*)=S)cc3)cc2)cc1,-6.27
*Nc1ccc(C(=O)ONc2ccc(C(=O)ONc3ccc(C(=O)O*)cc3)cc2)cc1,-6.22
*Nc1ccc(C(=S)c2ccc(Nc3ccc(C(=S)c4ccc(Nc5ccc(C(=S)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.23
*Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.11
*Nc1ccc(NONc2ccc(NONc3ccc(NO*)cc3)cc2)cc1,-5.91
*Nc1ccc(Oc2ccc(Nc3ccc(Oc4ccc(Nc5ccc(Oc6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.14
*Nc1ccc(Oc2ccc(Nc3ccc(Oc4ccc(Nc5ccc(Oc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.26
*Nc1ccc(OC(=S)Nc2ccc(OC(=S)Nc3ccc(OC(*)=S)cc3)cc2)cc1,-6.14
*NC(=O)c1ccc(-c2ccc(NC(=O)c3ccc(-c4ccc(NC(=O)c5ccc(-c6ccc(*)cc6)s5)cc4)s3)cc2)s1,-6.33
*NC(=O)c1ccc(C(=O)NC(=O)c2ccc(C(=O)NC(=O)c3ccc(C(*)=O)s3)s2)s1,-6.4
*NC(=O)c1ccc(C(=S)NC(=O)c2ccc(C(=S)NC(=O)c3ccc(C(*)=S)s3)s2)s1,-6.14
*NC(=O)c1ccc(ONC(=O)c2ccc(ONC(=O)c3ccc(O*)s3)s2)s1,-6.08
*NC(=O)c1ccc(-c2ccc(NC(=O)c3ccc(-c4ccc(NC(=O)c5ccc(-c6ccc(*)s6)cc5)s4)cc3)s2)cc1,-6.31
*NC(=O)c1ccc(-c2ccc(NC(=O)c3ccc(-c4ccc(NC(=O)c5ccc(-c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,-6.4
