smiles,Ei
[*]CC([*])C,6.185
[*]CC([*])F,7.6332
[*]CC([*])(F)F,8.1531
[*]C(F)C([*])(F)F,8.5986
[*]CCC(F)(F)C([*])(F)F,9.0178
[*]CO[*],7.5826
[*]CCO[*],7.0344
[*]CC(O[*])C(F)(F)F,7.9431
[*]CCCO[*],6.904
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,6.1428
[*]CCCCCOCO[*],6.9158
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],7.1012
[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,5.6689
[*]CCCCCS[*],5.7733
[*]Sc1ccc([*])cc1,6.1739
[*]CCOC(=O)CCCCC(=O)O[*],7.8277
[*]CCOC(=O)CCCCCCC(=O)O[*],7.7636
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,7.1539
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,7.6583
[*]CC(=O)O[*],8.2018
[*]CCCCCC(=O)O[*],7.458
[*]CCC(=O)O[*],7.7853
[*]Oc1ccc(CC([*])=O)cc1,6.3961
[*]Cc1ccc(C(=O)O[*])cc1,7.179
[*]CCC(=O)N[*],6.8452
[*]CCCCCCC(=O)N[*],6.5849
[*]CC(=O)N[*],7.2525
[*]Nc1cccc(C([*])=O)c1,6.1179
[*]Cc1ccc(C(=O)N[*])cc1,6.8713
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,5.1674
[*]OC(=O)c1ccc(C([*])=O)cc1,7.8184
[*]CCCCCOC(=O)O[*],7.4318
[*]Oc1ccc(OC([*])=O)cc1,6.5915
[*]CCCN[*],5.8246
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,6.383
[*]c1ccc([*])cc1,5.0935
[*]CCc1ccc(-c2ccc([*])cc2)cc1,5.6867
[*]OC1C(CO)OC([*])C(O)C1O,6.8689
[*]Cc1ccc(CO[*])cc1,6.5689
[*]CCOCCOC(=O)O[*],7.5966
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,8.3643
[*]c1ccc([*])s1,4.5257
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,6.2671
[*]Nc1ccc([*])cc1,4.9916
[*]c1cccc([*])n1,6.0452
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],3.5577
[*]C(S1)=CC=C1C(S2)=CC=C2[*],4.5257
[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],5.6338
[*]CC(C=C1)=CC=C1C[*],6.2134
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],7.4162
[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],6.2005
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],5.4248
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],4.7769
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],5.7571
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],6.0778
[*]C(S1)=CC=C1C(=S)OC(=S)[*],6.3892
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],5.0541
[*]C(S1)=CC=C1OC(=S)O[*],6.1007
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],4.7302
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],5.6406
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],5.1637
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],5.6674
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],5.1678
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],5.7103
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],4.9968
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],5.9399
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],5.1012
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],5.1853
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],5.6338
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],5.5837
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],5.9851
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],6.2119
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],5.8629
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],5.6051
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],5.7685
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],6.5598
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],5.9034
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],5.9615
[*]C(C=C1)=CC=C1OC(=S)O[*],6.6287
[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.1385
[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],5.7652
[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],5.2494
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.2326
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.6896
[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],5.4992
[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],5.797
[*]CC(S1)=CC=C1CC(=S)[*],5.8858
[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],6.3555
[*]CC(S1)=CC=C1C(=O)C(=S)[*],6.4325
[*]CC(S1)=CC=C1C(=O)O[*],6.8862
[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],5.9541
[*]CC(S1)=CC=C1C(=S)O[*],6.4155
[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],5.2507
[*]CC(S1)=CC=C1NC(=S)[*],5.7769
[*]CC(S1)=CC=C1NO[*],5.1816
[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],5.8606
[*]CC(S1)=CC=C1OC(=S)[*],6.155
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.1679
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],5.3092
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],5.8475
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.3793
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],5.528
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.6651
[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],5.5737
[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],6.2368
[*]CC(C=C1)=CC=C1CC(=S)[*],5.9697
[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],6.578
[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],6.6326
[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],6.2998
[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],5.8109
[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.6687
[*]CC(C=C1)=CC=C1C(=S)O[*],6.2737
[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],5.4067
[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],5.3392
[*]CC(C=C1)=CC=C1NC(=S)[*],5.8355
[*]CC(C=C1)=CC=C1NO[*],5.6115
[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],5.631
[*]CC(C=C1)=CC=C1OC(=S)[*],6.2998
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],5.1709
[*]CCC(S1)=CC=C1C(=S)[*],5.9475
[*]CCC(S1)=CC=C1O[*],5.5608
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],5.4079
[*]CCC(C=C1)=CC=C1C(=S)[*],5.8549
[*]CCC(C=C1)=CC=C1O[*],5.6727
[*]CCCC(S1)=CC=C1[*],5.6976
[*]CCCC(C=C1)=CC=C1[*],5.9933
[*]CCCC(=O)[*],6.6298
[*]CCCC(=S)[*],5.7881
[*]CCC(=O)C(S1)=CC=C1[*],6.6564
[*]CCC(=O)C(C=C1)=CC=C1[*],6.8635
[*]CCC(=O)C(=S)[*],6.4199
[*]CCC(=S)O[*],6.2041
[*]CCNC(S1)=CC=C1[*],4.6632
[*]CCNC(C=C1)=CC=C1[*],4.8208
[*]CCNC(=S)[*],5.3628
[*]CCON[*],4.8207
[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],5.6786
[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],6.0852
[*]CC(=O)C(S1)=CC=C1C(=O)[*],7.202
[*]CC(=O)C(S1)=CC=C1C(=S)[*],6.3101
[*]CC(=O)C(S1)=CC=C1O[*],6.261
[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],5.9294
[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],6.2808
[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],7.293
[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],6.4748
[*]CC(=O)C(C=C1)=CC=C1O[*],6.5457
[*]CC(=O)CC(S1)=CC=C1[*],6.0343
[*]CC(=O)CC(C=C1)=CC=C1[*],6.2518
[*]CC(=O)CC(=O)[*],5.6663
[*]CC(=O)CC(=S)[*],5.8877
[*]CC(=O)CO[*],6.97
[*]CC(=O)C(=S)C(S1)=CC=C1[*],6.3305
[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],6.263
[*]CC(=O)C(=S)C(=O)[*],6.8667
[*]CC(=O)C(=S)O[*],6.719
[*]CC(=O)NC(S1)=CC=C1[*],5.8021
[*]CC(=O)NC(C=C1)=CC=C1[*],5.8783
[*]CC(=O)NC(=O)[*],5.8547
[*]CC(=O)NC(=S)[*],5.8386
[*]CC(=O)OC(S1)=CC=C1[*],6.077
[*]CC(=O)OC(=O)[*],8.5901
[*]CC(=O)OC(=S)[*],6.7464
[*]CC(=S)C(S1)=CC=C1C(=S)[*],4.932
[*]CC(=S)C(S1)=CC=C1O[*],5.946
[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],4.2727
[*]CC(=S)C(C=C1)=CC=C1N[*],5.6636
[*]CC(=S)C(C=C1)=CC=C1O[*],5.926
[*]CC(=S)CO[*],5.5936
[*]CC(=S)C(=O)O[*],6.5803
[*]CC(=S)NO[*],5.6761
[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],5.4046
[*]CNC(S1)=CC=C1C(=O)[*],5.431
[*]CNC(S1)=CC=C1C(=S)[*],5.3497
[*]CNC(S1)=CC=C1N[*],4.8739
[*]CNC(S1)=CC=C1O[*],5.3042
[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],5.0179
[*]CNC(C=C1)=CC=C1N[*],4.6919
[*]CNC(C=C1)=CC=C1O[*],5.1109
[*]CNCC(S1)=CC=C1[*],5.8087
[*]CNCC(C=C1)=CC=C1[*],6.259
[*]CNCC(=O)[*],6.367
[*]CNCC(=S)[*],6.0922
[*]CNCN[*],6.0806
[*]CNCO[*],6.4057
[*]CNC(=O)C(S1)=CC=C1[*],6.3237
[*]CNC(=O)C(=S)[*],7.0203
[*]CNC(=S)C(S1)=CC=C1[*],5.8964
[*]CNC(=S)C(C=C1)=CC=C1[*],5.75
[*]CNC(=S)C(=O)[*],6.3386
[*]CNC(=S)N[*],5.6855
[*]CNC(=S)O[*],6.2178
[*]CNOC(S1)=CC=C1[*],5.578
[*]CNOC(C=C1)=CC=C1[*],5.7444
[*]CNOC(=S)[*],6.7958
[*]CNON[*],6.3414
[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],5.3253
[*]COC(S1)=CC=C1O[*],5.7358
[*]COC(C=C1)=CC=C1O[*],5.8209
[*]COC(=O)O[*],8.8314
[*]COC(=S)O[*],6.8707
[*]CONC(=O)[*],7.3554
[*]CONO[*],7.0389
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.3929
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],6.113
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],5.5977
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.7571
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],6.0589
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],5.7839
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],7.0438
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],6.8471
[*]C(=O)C(S1)=CC=C1C(=O)O[*],7.3658
[*]C(=O)C(S1)=CC=C1C(=S)O[*],6.7886
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],6.3539
[*]C(=O)C(S1)=CC=C1OC(=S)[*],6.8199
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],5.8483
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],6.028
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],5.9803
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],6.1599
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],7.268
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],6.4709
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],6.7765
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],6.7625
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],6.1761
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],6.7719
[*]C(=O)OC(S1)=CC=C1C(=S)[*],6.6347
[*]C(=O)OC(S1)=CC=C1O[*],5.9838
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],6.6755
[*]C(=O)OC(=O)O[*],7.4502
[*]C(=O)OC(=S)O[*],7.3548
[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],4.3058
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],4.9311
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],5.182
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],5.3242
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],4.3893
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.6909
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],5.2456
[*]NC(S1)=CC=C1C(=O)C(=S)[*],6.311
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],5.2424
[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.2303
[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],4.0261
[*]NC(S1)=CC=C1NC(=S)[*],5.1241
[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],5.4925
[*]NC(S1)=CC=C1OC(=S)[*],5.6596
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],4.896
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],4.4871
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],5.6224
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],4.5131
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],4.7817
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],5.1363
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.3872
[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],5.4547
[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],6.3689
[*]NC(C=C1)=CC=C1C(=O)O[*],6.8988
[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.3904
[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],4.9639
[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],5.3817
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],4.8032
[*]NC(C=C1)=CC=C1OC(=S)[*],5.9088
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],5.5458
[*]NC(=O)C(S1)=CC=C1C(=O)[*],7.093
[*]NC(=O)C(S1)=CC=C1C(=S)[*],6.1268
[*]NC(=O)C(S1)=CC=C1O[*],6.5697
[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],6.1434
[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],5.7787
[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],6.3279
[*]NC(=O)C(C=C1)=CC=C1O[*],6.7472
[*]NC(=O)C(=S)C(S1)=CC=C1[*],6.6147
[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],6.5245
[*]NC(=O)C(=S)C(=O)[*],6.114
[*]NC(=O)C(=S)O[*],7.7235
[*]NC(=O)NC(S1)=CC=C1[*],4.8361
[*]NC(=O)NC(=O)[*],5.9087
[*]NC(=O)NC(=S)[*],7.159
[*]NC(=O)NO[*],7.4857
[*]NC(=O)OC(S1)=CC=C1[*],5.369
[*]NC(=O)OC(C=C1)=CC=C1[*],5.9392
[*]NC(=O)OC(=S)[*],7.661
[*]NC(=S)C(S1)=CC=C1O[*],6.1012
[*]NC(=S)C(C=C1)=CC=C1O[*],5.884
[*]NC(=S)C(=O)O[*],6.5527
[*]NC(=S)NC(C=C1)=CC=C1[*],5.5113
[*]NC(=S)NC(=S)[*],7.0636
[*]NC(=S)NO[*],5.7438
[*]NC(=S)OC(=S)[*],6.6502
[*]NOC(=O)O[*],7.9654
[*]NOC(=S)O[*],7.5682
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],5.9845
[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],5.378
[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],5.1123
[*]NC(=O)OC(=O)[*],8.2121
[*]C(=O)C(=S)C(=O)O[*],7.4364
[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],6.7464
[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],5.413
[*]CNCCCOCO[*],6.3776
[*]CNCNC(=O)NC(=O)N[*],6.2252
[*]CNC(=O)NCOCO[*],7.215
[*]CNC(=O)ONC(=O)NO[*],7.4526
[*]COCOCCCO[*],7.1508
[*]COC(=O)NCCNC[*],6.3844
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],5.4902
[*]C(=O)NC(=O)CNC(=O)ON[*],8.0693
[*]C(=O)NC(=O)NCCCN[*],6.8266
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],5.7225
[*]C(=O)NC(=O)OC(=O)NCN[*],8.0251
[*]C(=O)NOCCCCO[*],6.4266
[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],7.1656
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],6.7826
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],6.9673
[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],7.2935
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],6.4074
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],6.6407
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],6.9546
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],7.7355
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],6.7085
[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],6.8728
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],6.0965
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],6.3228
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],6.6143
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],6.9837
[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],6.8904
[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],7.001
[*]C(F)(F)C(F)(F)CC(=O)[*],7.9225
[*]C(F)(F)C(F)(F)CC(=S)[*],6.438
[*]C(F)(F)C(F)(F)CN[*],8.2676
[*]C(F)(F)C(F)(F)CO[*],9.8385
[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],7.5565
[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],7.7091
[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],7.0732
[*]C(F)(F)C(F)(F)C(=S)O[*],7.093
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],5.871
[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],6.1304
[*]C(F)(F)C(F)(F)NC(=O)[*],8.3456
[*]C(F)(F)C(F)(F)NC(=S)[*],6.3593
[*]C(F)(F)C(F)(F)ON[*],9.0368
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],7.1393
[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],7.0413
[*]C(F)(F)CC(F)(F)C(=O)[*],8.1829
[*]C(F)(F)CC(F)(F)C(=S)[*],7.4545
[*]C(F)(F)CC(F)(F)N[*],8.5515
[*]C(F)(F)CC(F)(F)O[*],9.6085
[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],7.3587
[*]C(F)(F)C(=O)C(F)(F)O[*],8.7917
[*]C(F)(F)C(=S)C(F)(F)O[*],7.385
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],7.3853
[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],7.2657
[*]C(F)(F)NC(F)(F)C(=O)[*],8.5584
[*]C(F)(F)NC(F)(F)C(=S)[*],7.8892
[*]C(F)(F)NC(F)(F)N[*],8.5631
[*]C(F)(F)NC(F)(F)O[*],9.067
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],4.852
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],5.7249
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],5.643
[*]CC(S1)=CC=C1CO[*],6.0202
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],6.205
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.5122
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],6.162
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.9085
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],6.3469
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.8604
[*]NC(S1)=CC=C1C(=O)O[*],6.0364
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC[*],5.4552
[*]C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N[*],5.1795
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4[*],5.6233
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2CC(=S)C(S3)=CC=C3C(=S)CO[*],5.9175
[*]C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N[*],5.2813
[*]CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2[*],6.1951
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],5.6948
[*]C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.8838
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2[*],5.8176
[*]C(F)(F)C(F)(F)C(=O)O[*],9.0985
